substrate,vmax,load,pv,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,class,fail_reason
ieee123,1.05,1.05,1.3,SOLVED,-40973.99077689662,2.3150022541995607e-6,1.2440194747033988,0,-3.551701397918209,1.0102612396343877,inexact,
ieee123,1.05,1.05,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,guard,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 2.648919682695867e-6 ≥ τ·Pmax² = 6.890625000000001e-7 (relative τ=0.001, Pmax≈0.026250000000000002; App. C, threat T-03-13)"
ieee123,1.05,1.05,2.2,SOLVED,-40871.65479295136,4.672941108951889e-6,1.1811747850821799,0,-3.6054384768953196,1.0118786671675453,inexact,
ieee123,1.075,0.95,0.4,SOLVED,-41198.29850302176,1.1002026107931329e-6,0.735551104493587,0,-0.086965115609961,0.999752092906959,exact,
ieee123,1.075,0.95,0.7,SOLVED,-41107.52652916841,9.403938339147544e-8,0.05474804365948475,0,-1.849453329434128,1.000362049054013,exact,
ieee123,1.075,0.95,1.0,SOLVED,-41018.715168453826,3.5472677613057613e-6,3.1278994303099883,0,-3.532929435690796,1.0118918297675588,inexact,
ieee123,1.075,0.95,1.3,SOLVED,-40946.787987970274,3.3814511994773033e-6,1.7458040633721312,0,-3.584892592919401,1.0119945910565595,inexact,
ieee123,1.075,0.95,1.7,SOLVED,-40896.27716545783,3.934894610216344e-6,2.389221972917105,0,-3.5683822051263236,1.0133555147306263,inexact,
ieee123,1.075,0.95,2.2,SOLVED,-40849.53036350473,1.8422557392094863e-6,0.7189895122682888,0,-3.797071732164668,1.0158106545158927,exact,
ieee123,1.075,1.0,0.4,SOLVED,-41215.37474557029,4.6751604010353276e-7,0.3832575550739002,0,-0.07767958154837731,0.9997227521750665,exact,
ieee123,1.075,1.0,0.7,SOLVED,-41124.42068386095,8.360201153578828e-8,0.07166188027545244,0,-1.6886566284233224,1.0003050903911053,exact,
ieee123,1.075,1.0,1.0,SOLVED,-41035.40361932805,4.468008363289755e-7,0.2933341003774443,0,-3.5069032450162374,1.0104679816441529,exact,
ieee123,1.075,1.0,1.3,SOLVED,-40960.213768505346,5.635952263521871e-6,3.5442295528410592,0,-3.5731499132631495,1.0105819809947854,inexact,
ieee123,1.075,1.0,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,guard,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 1.1066713608351976e-6 ≥ τ·Pmax² = 6.250000000000002e-7 (relative τ=0.001, Pmax≈0.025; App. C, threat T-03-13)"
ieee123,1.075,1.0,2.2,SOLVED,-40860.54075045079,9.099535692724814e-6,2.780058011086779,0,-3.772231757988179,1.0143682302849355,inexact,
ieee123,1.075,1.05,0.4,SOLVED,-41232.48926429835,3.0438794418330417e-7,0.2662652970140984,0,-0.06838229364426698,0.9996932350294352,exact,
ieee123,1.075,1.05,0.7,SOLVED,-41141.35214642385,4.524697683194745e-7,0.26059835956355626,0,-1.5326359541042802,1.0002479544237783,exact,
ieee123,1.075,1.05,1.0,SOLVED,-41052.15197344257,1.3239970275691348e-7,0.104886036234091,0,-3.4794292836903495,1.0090642667613963,exact,
ieee123,1.075,1.05,1.3,SOLVED,-40973.99076493364,9.85078258408656e-7,0.48760254630880906,0,-3.551701355598896,1.0102612371212107,exact,
ieee123,1.075,1.05,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,guard,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 2.648962937432345e-6 ≥ τ·Pmax² = 6.890625000000001e-7 (relative τ=0.001, Pmax≈0.026250000000000002; App. C, threat T-03-13)"
ieee123,1.075,1.05,2.2,SOLVED,-40871.65481054805,8.080758374551245e-6,1.973414891202504,0,-3.60543868687212,1.011878665703805,inexact,
ieee123,1.1,0.95,0.4,SOLVED,-41198.2985606892,5.229641565129839e-6,4.093111139354198,0,-0.0869630767742092,0.9997520897975757,inexact,
ieee123,1.1,0.95,0.7,SOLVED,-41107.52652919386,9.534530054366996e-8,0.05595156792104228,0,-1.8494533727063285,1.0003620490666378,exact,
ieee123,1.1,0.95,1.0,SOLVED,-41018.71512157196,2.056224204238788e-7,0.13333030357560544,0,-3.5329295282258966,1.0118918317455443,exact,
ieee123,1.1,0.95,1.3,SOLVED,-40946.78803237699,8.394890319451953e-6,3.678356687056196,0,-3.58487391270163,1.0119945800755452,inexact,
ieee123,1.1,0.95,1.7,SOLVED,-40896.2771393215,6.647591721947732e-7,0.26753018279546276,0,-3.5683822949717467,1.0133555195639536,exact,
ieee123,1.1,0.95,2.2,SOLVED,-40849.530387805986,7.220586941636409e-6,1.5689443818427151,0,-3.7970716324137057,1.015810651562068,inexact,
ieee123,1.1,1.0,0.4,SOLVED,-41215.37477112174,2.1783580237411115e-6,1.5384347609303246,0,-0.07767840052779851,0.9997227511223618,inexact,
ieee123,1.1,1.0,0.7,SOLVED,-41124.42069859369,1.0848935945162452e-6,0.7171276751669923,0,-1.688657788712875,1.0003050907237017,exact,
ieee123,1.1,1.0,1.0,SOLVED,-41035.40361726105,3.05980868198219e-7,0.2170819492945392,0,-3.506903259276207,1.010467974302812,exact,
ieee123,1.1,1.0,1.3,SOLVED,-40960.21373472917,1.8328623248298204e-6,1.1620259894006777,0,-3.5731500120091577,1.0105819969404484,inexact,
ieee123,1.1,1.0,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,guard,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 1.1068038025884784e-6 ≥ τ·Pmax² = 6.250000000000002e-7 (relative τ=0.001, Pmax≈0.025; App. C, threat T-03-13)"
ieee123,1.1,1.0,2.2,SOLVED,-40860.54074795017,8.61845981536824e-6,3.1318779209769114,0,-3.772232035474023,1.0143682325375254,inexact,
ieee123,1.1,1.05,0.4,SOLVED,-41232.48926227091,1.8810962032489442e-7,0.11427699756676152,0,-0.06838245374806,0.9996932352031568,exact,
ieee123,1.1,1.05,0.7,SOLVED,-41141.352152025866,8.330908931597492e-7,0.5383490556018771,0,-1.5326374853655635,1.000247954771724,exact,
ieee123,1.1,1.05,1.0,SOLVED,-41052.15197833926,4.7338517017436743e-7,0.30282854639924855,0,-3.4794292659938098,1.0090642694049972,exact,
ieee123,1.1,1.05,1.3,SOLVED,-40973.99078638323,3.327266427571862e-6,2.05783059523126,0,-3.5517013459784894,1.0102612390051446,inexact,
ieee123,1.1,1.05,1.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,guard,"Battery complementarity violated at bus 5, t=16: p_ch·p_dch = 2.649042094541627e-6 ≥ τ·Pmax² = 6.890625000000001e-7 (relative τ=0.001, Pmax≈0.026250000000000002; App. C, threat T-03-13)"
ieee123,1.1,1.05,2.2,SOLVED,-40871.65478027245,2.2158801038507647e-6,0.5179890644742362,0,-3.6054382283839703,1.0118786675479103,exact,
